partner,day,no_of_registrations,no_orders,aum,aov,fti_count,fti_amount
Paisa Bazaar,2025-10-31,357,33,1748916.6271999998,52997.47355151514,7,149936.3884
Paisa Bazaar,2025-10-30,469,41,2242841.7446,54703.45718536585,18,423755.80569999997
Paisa Bazaar,2025-10-29,544,36,2856252.7675,79340.35465277778,13,566321.1037
Paisa Bazaar,2025-10-28,365,20,1265157.9062,63257.89531000001,11,473603.29150000005
Paisa Bazaar,2025-10-27,387,77,3774293.6082,49016.80010649351,12,402300.67170000006
Paisa Bazaar,2025-10-26,387,0,0.0,0.0,0,
Paisa Bazaar,2025-10-25,360,0,0.0,0.0,0,
Paisa Bazaar,2025-10-24,609,33,1019022.5068,30879.4699030303,15,553758.5510000001
Paisa Bazaar,2025-10-23,402,105,4660453.0404,44385.26705142857,16,613106.3313000001
Paisa Bazaar,2025-10-22,639,12,210948.2285,17579.019041666666,18,659508.8685000002
Paisa Bazaar,2025-10-21,552,2,410.0,205.0,24,928983.0468999998
Paisa Bazaar,2025-10-20,387,132,5561387.3796000015,42131.72257272728,28,1266815.9910000004
Paisa Bazaar,2025-10-19,406,0,0.0,0.0,0,
Paisa Bazaar,2025-10-18,630,0,0.0,0.0,0,
Paisa Bazaar,2025-10-17,602,50,2766389.8540000003,55327.797080000004,23,841716.4905
Paisa Bazaar,2025-10-16,635,60,2285706.7714,38095.11285666667,23,1301707.2539
Paisa Bazaar,2025-10-15,1086,43,961101.1793,22351.19021627907,34,879326.0489999999
Paisa Bazaar,2025-10-14,1067,34,2271358.3569,66804.65755588235,24,721620.8129
Paisa Bazaar,2025-10-13,756,38,1290462.2415,33959.532671052635,9,596506.8122
Paisa Bazaar,2025-10-12,348,0,0.0,0.0,0,
Paisa Bazaar,2025-10-11,489,0,0.0,0.0,0,
Paisa Bazaar,2025-10-10,499,13,417235.10829999996,32095.00833076923,9,367373.52809999994
Paisa Bazaar,2025-10-09,332,15,542013.1144000001,36134.20762666667,6,16002.392600000001
Paisa Bazaar,2025-10-08,728,21,873390.9992000001,41590.047580952385,6,114486.35530000002
Paisa Bazaar,2025-10-07,406,12,230826.86729999998,19235.572275,3,31605.3695
Paisa Bazaar,2025-10-06,646,36,876709.5219,24353.042275,4,73601.6122
Paisa Bazaar,2025-10-05,383,0,0.0,0.0,0,
Paisa Bazaar,2025-10-04,370,0,0.0,0.0,0,
Paisa Bazaar,2025-10-03,540,30,613363.0252999999,20445.434176666662,6,341887.96390000003
Paisa Bazaar,2025-10-02,386,0,0.0,0.0,0,
Paisa Bazaar,2025-10-01,1272,9,775890.9188999999,86210.10209999999,10,131254.6344
Paisa Bazaar,2025-09-30,289,12,683347.5478999999,56945.62899166666,7,166071.8892
Paisa Bazaar,2025-09-29,603,18,597876.5898,33215.3661,5,544476.7272
Paisa Bazaar,2025-09-28,288,0,0.0,0.0,0,
Paisa Bazaar,2025-09-27,322,0,0.0,0.0,0,
Paisa Bazaar,2025-09-26,314,3,26075.54,8691.846666666666,1,198405.1617
Paisa Bazaar,2025-09-25,345,4,619342.3767,154835.594175,2,15147.8154
Paisa Bazaar,2025-09-24,825,9,500900.63769999996,55655.62641111111,4,638237.1669999999
Paisa Bazaar,2025-09-23,315,15,1017330.6413000001,67822.04275333334,5,498001.3333
Paisa Bazaar,2025-09-22,543,17,1190007.9524,70000.4677882353,5,222873.44409999996
Paisa Bazaar,2025-09-21,305,8,11218.0,1402.25,2,297606.39119999995
Paisa Bazaar,2025-09-20,611,1,320.0,320.0,3,79863.6537
Paisa Bazaar,2025-09-19,344,9,163193.6483,18132.62758888889,2,21007.0435
Paisa Bazaar,2025-09-18,506,14,398999.769,28499.9835,5,117749.08589999999
Paisa Bazaar,2025-09-17,708,13,296835.983,22833.537153846155,10,253888.5385
Paisa Bazaar,2025-09-16,401,5,59350.74079999999,11870.148159999999,3,69223.01610000001
Paisa Bazaar,2025-09-15,999,37,815964.3471,22053.090462162163,8,142426.7825
Paisa Bazaar,2025-09-14,340,1,1500.0,1500.0,5,138436.6268
Paisa Bazaar,2025-09-13,355,0,0.0,0.0,0,
Paisa Bazaar,2025-09-12,348,3,88935.06169999999,29645.020566666662,4,25698.559800000003
Paisa Bazaar,2025-09-11,388,12,374735.7774999999,31227.981458333325,6,165398.17359999998
Paisa Bazaar,2025-09-10,705,10,616429.9492,61642.994920000005,3,202524.915
Paisa Bazaar,2025-09-09,367,20,1011170.243,50558.51215,3,151850.1793
Paisa Bazaar,2025-09-08,714,5,13873.77,2774.754,4,558653.8406
Paisa Bazaar,2025-09-07,390,0,0.0,0.0,0,
Paisa Bazaar,2025-09-06,321,0,0.0,0.0,0,
Paisa Bazaar,2025-09-05,454,9,343447.6657,38160.851744444444,6,42217.551999999996
Paisa Bazaar,2025-09-04,355,7,22784.932200000003,3254.9903142857147,2,27399.7912
Paisa Bazaar,2025-09-03,611,14,183299.126,13092.794714285714,11,155881.01390000002
Paisa Bazaar,2025-09-02,360,5,310835.15219999995,62167.03043999999,2,79232.03450000001
Paisa Bazaar,2025-09-01,267,22,812248.1195,36920.36906818182,7,72728.1757
Paisa Bazaar,2025-08-31,263,1,100.0,100.0,6,422552.7457
Paisa Bazaar,2025-08-30,263,0,0.0,0.0,0,
Paisa Bazaar,2025-08-29,858,10,383288.7758,38328.87758,6,360968.0762
Paisa Bazaar,2025-08-28,220,24,503809.385,20992.057708333334,9,190995.25730000003
Paisa Bazaar,2025-08-27,225,0,0.0,0.0,0,
Paisa Bazaar,2025-08-26,230,12,601745.098,50145.42483333333,4,35998.5355
Paisa Bazaar,2025-08-25,284,12,309728.3602,25810.69668333333,8,221040.15519999998
Paisa Bazaar,2025-08-24,534,0,0.0,0.0,0,
Paisa Bazaar,2025-08-23,249,1,1773.0,1773.0,1,9965.5436
Paisa Bazaar,2025-08-22,941,4,149324.9529,37331.238225,2,20740.5105
Paisa Bazaar,2025-08-21,248,6,267735.8584,44622.64306666667,1,49274.7886
Paisa Bazaar,2025-08-20,262,4,136514.58490000002,34128.646225000004,2,21768.5908
Paisa Bazaar,2025-08-19,240,9,805128.8634,89458.7626,6,372153.28620000003
Paisa Bazaar,2025-08-18,294,45,2716989.8127,60377.551393333335,6,763962.7645000002
Paisa Bazaar,2025-08-17,627,0,0.0,0.0,0,
Paisa Bazaar,2025-08-16,250,0,0.0,0.0,0,
Paisa Bazaar,2025-08-15,501,2,366308.04000000004,183154.02000000002,9,534374.3089
Paisa Bazaar,2025-08-14,236,11,303424.70639999997,27584.064218181815,1,1091.6952
Paisa Bazaar,2025-08-13,267,8,400101.51139999996,50012.688924999995,6,198874.7112
Paisa Bazaar,2025-08-12,254,7,181016.93959999998,25859.562799999996,4,123410.9093
Paisa Bazaar,2025-08-11,275,13,213056.79119999998,16388.983938461537,4,21679.03
Paisa Bazaar,2025-08-10,480,0,0.0,0.0,0,
Paisa Bazaar,2025-08-09,234,0,0.0,0.0,0,
Paisa Bazaar,2025-08-08,570,11,351043.8144000001,31913.074036363643,7,180736.5055
Paisa Bazaar,2025-08-07,254,5,267545.4437,53509.08874,1,8577.7951
Paisa Bazaar,2025-08-06,251,3,101301.59350000002,33767.19783333334,2,2151.7296
Paisa Bazaar,2025-08-05,278,10,346450.47789999994,34645.04779,3,107867.1904
Paisa Bazaar,2025-08-04,266,15,631391.2908,42092.75272,7,136252.2619
Paisa Bazaar,2025-08-03,626,0,0.0,0.0,0,
Paisa Bazaar,2025-08-02,293,0,0.0,0.0,0,
Paisa Bazaar,2025-08-01,1746,4,42661.029500000004,10665.257375000001,1,992.6179
Paisa Bazaar,2025-07-31,208,9,349053.2551,38783.695011111115,3,69635.9262
Paisa Bazaar,2025-07-30,452,7,206387.60919999998,29483.944171428568,6,110054.45360000001
Paisa Bazaar,2025-07-29,365,8,766247.7439,95780.9679875,3,108827.5504
Paisa Bazaar,2025-07-28,483,16,700846.1882,43802.8867625,3,5108.4459
Paisa Bazaar,2025-07-27,389,0,0.0,0.0,0,
Paisa Bazaar,2025-07-26,249,0,0.0,0.0,0,
Paisa Bazaar,2025-07-25,392,6,113212.8157,18868.802616666668,2,1991.5538999999999
Paisa Bazaar,2025-07-24,449,4,233055.55930000002,58263.889825000006,2,15051.7448
Paisa Bazaar,2025-07-23,267,5,351283.9713,70256.79426,3,134660.114
Paisa Bazaar,2025-07-22,394,23,742032.9072,32262.300313043477,13,573071.6046
Paisa Bazaar,2025-07-21,269,14,938809.2183999999,67057.80131428571,5,14376.3363
Paisa Bazaar,2025-07-20,427,0,0.0,0.0,0,
Paisa Bazaar,2025-07-19,273,0,0.0,0.0,0,
Paisa Bazaar,2025-07-18,423,13,1018072.1386,78313.24143076922,4,404834.4116
Paisa Bazaar,2025-07-17,596,8,21325.6196,2665.70245,5,28799.772699999998
Paisa Bazaar,2025-07-16,263,4,203879.3817,50969.845425,5,17550.0763
Paisa Bazaar,2025-07-15,433,10,613684.0116,61368.401159999994,9,514630.11899999995
Paisa Bazaar,2025-07-14,291,14,448823.1702,32058.79787142857,3,102667.1155
Paisa Bazaar,2025-07-13,303,0,0.0,0.0,0,
Paisa Bazaar,2025-07-12,299,1,5000.0,5000.0,3,13998.3297
Paisa Bazaar,2025-07-11,422,8,146612.3148,18326.53935,3,13463.583499999999
Paisa Bazaar,2025-07-10,313,19,361344.34539999993,19018.12344210526,9,73116.6958
Paisa Bazaar,2025-07-09,357,9,245153.12679999997,27239.236311111108,4,30367.0207
Paisa Bazaar,2025-07-08,308,8,18122.830400000003,2265.3538000000003,8,119713.21059999999
Paisa Bazaar,2025-07-07,356,17,167834.60859999998,9872.624035294117,6,9548.1058
Paisa Bazaar,2025-07-06,311,0,0.0,0.0,0,
Paisa Bazaar,2025-07-05,358,0,0.0,0.0,0,
Paisa Bazaar,2025-07-04,369,10,228165.7094,22816.570939999998,2,14037.875
Paisa Bazaar,2025-07-03,354,9,37892.8022,4210.311355555556,8,133955.2443
Paisa Bazaar,2025-07-02,378,9,255459.17400000003,28384.35266666667,8,249694.99399999998
Paisa Bazaar,2025-07-01,353,19,200313.19,10542.79947368421,9,132612.11
Paisa Bazaar,2025-06-30,440,25,295812.48000000004,11832.499200000002,6,30342.920000000002
Paisa Bazaar,2025-06-29,405,0,0.0,0.0,0,
Paisa Bazaar,2025-06-28,352,0,0.0,0.0,0,
Paisa Bazaar,2025-06-27,436,5,5079.51,1015.902,4,3993.29
Paisa Bazaar,2025-06-26,290,7,229773.35,32824.764285714286,5,11062.730000000003
Paisa Bazaar,2025-06-25,434,2,2010.9,1005.45,1,1005.45
Paisa Bazaar,2025-06-24,589,9,26876.42,2986.268888888889,5,6338.99
Paisa Bazaar,2025-06-23,287,32,284865.04,8902.0325,7,53354.909999999996
Paisa Bazaar,2025-06-22,379,0,0.0,0.0,0,
Paisa Bazaar,2025-06-21,594,0,0.0,0.0,0,
Paisa Bazaar,2025-06-20,402,3,3014.1000000000004,1004.7000000000002,3,11773.34
Paisa Bazaar,2025-06-19,507,6,18055.61,3009.2683333333334,5,9116.150000000001
Paisa Bazaar,2025-06-18,775,10,113723.29000000002,11372.329000000002,2,4014.83
Paisa Bazaar,2025-06-17,425,5,7103.84,1420.768,3,5023.74
Paisa Bazaar,2025-06-16,463,18,267989.77,14888.320555555556,4,20977.510000000002
Paisa Bazaar,2025-06-15,731,0,0.0,0.0,0,
Paisa Bazaar,2025-06-14,389,0,0.0,0.0,0,
Paisa Bazaar,2025-06-13,484,6,8125.67,1354.2783333333334,3,14043.650000000001
Paisa Bazaar,2025-06-12,991,8,28124.14,3515.5175,4,16111.630000000001
Paisa Bazaar,2025-06-11,396,10,152524.53,15252.453,6,139653.09999999998
Paisa Bazaar,2025-06-10,292,3,2513.0,837.6666666666666,3,2513.25
Paisa Bazaar,2025-06-09,601,17,261956.78999999998,15409.22294117647,2,12582.039999999999
Paisa Bazaar,2025-06-08,457,0,0.0,0.0,0,
Paisa Bazaar,2025-06-07,361,0,0.0,0.0,0,
Paisa Bazaar,2025-06-06,738,3,4106.73,1368.9099999999999,5,104412.74
Paisa Bazaar,2025-06-05,443,0,0.0,0.0,0,
Paisa Bazaar,2025-06-04,378,6,17102.399999999998,2850.3999999999996,3,2099.13
Paisa Bazaar,2025-06-03,421,1,999.97,999.97,3,15003.27
Paisa Bazaar,2025-06-02,364,7,31863.49,4551.927142857143,2,10712.56
Paisa Bazaar,2025-06-01,417,0,0.0,0.0,0,
Paisa Bazaar,2025-05-31,415,0,0.0,0.0,0,
Paisa Bazaar,2025-05-30,255,3,108108.67,36036.223333333335,4,19972.61
Paisa Bazaar,2025-05-29,233,2,10157.25,5078.625,1,9953.81
Paisa Bazaar,2025-05-28,231,2,5136.4,2568.2,1,101.7
Paisa Bazaar,2025-05-27,276,5,7261.73,1452.346,4,10212.14
Paisa Bazaar,2025-05-26,276,7,5082.58,726.0828571428572,1,1006.69
Paisa Bazaar,2025-05-25,283,0,0.0,0.0,0,
Paisa Bazaar,2025-05-24,284,0,0.0,0.0,0,
Paisa Bazaar,2025-05-23,262,3,2010.78,670.26,5,4094.5499999999997
Paisa Bazaar,2025-05-22,189,0,0.0,0.0,0,
Paisa Bazaar,2025-05-21,232,5,5195.63,1039.126,2,2055.16
Paisa Bazaar,2025-05-20,198,0,0.0,0.0,0,
Paisa Bazaar,2025-05-19,145,2,4156.61,2078.305,0,
Paisa Bazaar,2025-05-18,150,0,0.0,0.0,0,
Paisa Bazaar,2025-05-17,143,0,0.0,0.0,0,
Paisa Bazaar,2025-05-16,20,0,0.0,0.0,0,
Paisa Bazaar,2025-05-15,4,1,1026.01,1026.01,0,
Paisa Bazaar,2025-05-12,1,0,0.0,0.0,0,
Paisa Bazaar,2025-05-11,1,0,0.0,0.0,0,
Paisa Bazaar,2025-05-10,1,0,0.0,0.0,0,
Paisa Bazaar,2025-05-09,2,1,1024.55,1024.55,0,
Paisa Bazaar,2025-05-08,2,3,11870.42,3956.806666666667,1,1001.94
Paisa Bazaar,2025-05-07,1,0,0.0,0.0,0,
Paisa Bazaar,2025-05-06,2,0,0.0,0.0,0,
Paisa Bazaar,2025-05-04,1,0,0.0,0.0,0,
Paisa Bazaar,2025-05-03,1,0,0.0,0.0,0,
Paisa Bazaar,2025-05-02,1,0,0.0,0.0,0,
Paisa Bazaar,2025-04-29,1,0,0.0,0.0,0,
Paisa Bazaar,2025-04-28,1,0,0.0,0.0,0,
Paisa Bazaar,2025-04-27,1,0,0.0,0.0,0,
Paisa Bazaar,2025-04-26,1,0,0.0,0.0,0,
Paisa Bazaar,2025-04-25,3,0,0.0,0.0,0,
Paisa Bazaar,2025-04-22,2,0,0.0,0.0,0,
Paisa Bazaar,2025-04-19,1,0,0.0,0.0,0,
Paisa Bazaar,2025-04-17,2,0,0.0,0.0,0,
Paisa Bazaar,2025-04-16,1,0,0.0,0.0,0,
Paisa Bazaar,2025-04-08,1,0,0.0,0.0,0,
Paisa Bazaar,2025-04-07,2,0,0.0,0.0,0,
Paisa Bazaar,2025-04-04,2,0,0.0,0.0,0,
Paisa Bazaar,2025-04-03,2,0,0.0,0.0,0,
Paisa Bazaar,2025-03-23,1,0,0.0,0.0,0,
Paisa Bazaar,2025-03-18,1,0,0.0,0.0,0,
Paisa Bazaar,2025-03-17,2,0,0.0,0.0,0,
Paisa Bazaar,2025-03-15,1,0,0.0,0.0,0,
Paisa Bazaar,2025-03-14,1,0,0.0,0.0,0,
Paisa Bazaar,2025-03-12,1,0,0.0,0.0,0,
Paisa Bazaar,2025-03-08,1,0,0.0,0.0,0,
Paisa Bazaar,2025-03-04,1,0,0.0,0.0,0,
Paisa Bazaar,2025-03-02,1,0,0.0,0.0,0,
Paisa Bazaar,2025-02-28,2,0,0.0,0.0,0,
Paisa Bazaar,2025-02-20,1,0,0.0,0.0,0,
Paisa Bazaar,2025-02-17,1,0,0.0,0.0,0,
Paisa Bazaar,2025-02-15,1,0,0.0,0.0,0,
Paisa Bazaar,2025-02-13,1,0,0.0,0.0,0,
Paisa Bazaar,2025-02-11,1,0,0.0,0.0,0,
Paisa Bazaar,2025-02-07,1,0,0.0,0.0,0,
Paisa Bazaar,2025-01-27,2,0,0.0,0.0,0,
Paisa Bazaar,2025-01-21,1,0,0.0,0.0,0,
Paisa Bazaar,2025-01-20,2,0,0.0,0.0,0,
Paisa Bazaar,2025-01-15,1,0,0.0,0.0,0,
Paisa Bazaar,2025-01-12,1,0,0.0,0.0,0,
Paisa Bazaar,2025-01-10,1,0,0.0,0.0,0,
Paisa Bazaar,2025-01-08,1,0,0.0,0.0,0,
Paisa Bazaar,2024-12-26,1,0,0.0,0.0,0,
Paisa Bazaar,2024-12-24,1,0,0.0,0.0,0,
Paisa Bazaar,2024-12-23,2,0,0.0,0.0,0,
Paisa Bazaar,2024-12-18,1,0,0.0,0.0,0,
Paisa Bazaar,2024-12-15,1,0,0.0,0.0,0,
Paisa Bazaar,2024-12-10,1,0,0.0,0.0,0,
Paisa Bazaar,2024-12-05,1,0,0.0,0.0,0,
Paisa Bazaar,2024-12-04,1,0,0.0,0.0,0,
Paisa Bazaar,2024-12-03,2,0,0.0,0.0,0,
Paisa Bazaar,2024-11-30,1,0,0.0,0.0,0,
Paisa Bazaar,2024-11-29,1,0,0.0,0.0,0,
Paisa Bazaar,2024-11-28,1,0,0.0,0.0,0,
Paisa Bazaar,2024-11-19,1,0,0.0,0.0,0,
Paisa Bazaar,2024-11-18,2,0,0.0,0.0,0,
Paisa Bazaar,2024-11-17,1,0,0.0,0.0,0,
Paisa Bazaar,2024-11-15,1,0,0.0,0.0,0,
Paisa Bazaar,2024-11-11,1,0,0.0,0.0,0,
Paisa Bazaar,2024-11-09,2,0,0.0,0.0,0,
Paisa Bazaar,2024-11-05,1,0,0.0,0.0,0,
Paisa Bazaar,2024-11-04,1,0,0.0,0.0,0,
Paisa Bazaar,2024-11-01,1,0,0.0,0.0,0,
Paisa Bazaar,2024-10-24,1,0,0.0,0.0,0,
Paisa Bazaar,2024-10-18,2,0,0.0,0.0,0,
Paisa Bazaar,2024-10-17,1,0,0.0,0.0,0,
Paisa Bazaar,2024-10-14,1,0,0.0,0.0,0,
Paisa Bazaar,2024-10-09,1,0,0.0,0.0,0,
Paisa Bazaar,2024-10-08,2,0,0.0,0.0,0,
Paisa Bazaar,2024-10-03,1,0,0.0,0.0,0,
Paisa Bazaar,2024-10-01,1,0,0.0,0.0,0,
Paisa Bazaar,2024-09-29,1,0,0.0,0.0,0,
Paisa Bazaar,2024-09-28,2,0,0.0,0.0,0,
Paisa Bazaar,2024-09-25,1,0,0.0,0.0,0,
Paisa Bazaar,2024-09-19,1,0,0.0,0.0,0,
Paisa Bazaar,2024-09-18,1,0,0.0,0.0,0,
Paisa Bazaar,2024-09-17,1,0,0.0,0.0,0,
Paisa Bazaar,2024-09-16,1,0,0.0,0.0,0,
Paisa Bazaar,2024-09-15,1,0,0.0,0.0,0,
Paisa Bazaar,2024-09-08,3,0,0.0,0.0,0,
Paisa Bazaar,2024-09-03,3,0,0.0,0.0,0,
Paisa Bazaar,2024-08-31,1,0,0.0,0.0,0,
Paisa Bazaar,2024-08-30,1,0,0.0,0.0,0,
Paisa Bazaar,2024-08-29,1,0,0.0,0.0,0,
Paisa Bazaar,2024-08-27,3,0,0.0,0.0,0,
Paisa Bazaar,2024-08-24,1,0,0.0,0.0,0,
Paisa Bazaar,2024-08-23,1,0,0.0,0.0,0,
Paisa Bazaar,2024-08-21,1,0,0.0,0.0,0,
Paisa Bazaar,2024-08-19,3,0,0.0,0.0,0,
Paisa Bazaar,2024-08-18,1,0,0.0,0.0,0,
Paisa Bazaar,2024-08-17,2,0,0.0,0.0,0,
Paisa Bazaar,2024-08-15,2,0,0.0,0.0,0,
Paisa Bazaar,2024-08-13,1,0,0.0,0.0,0,
Paisa Bazaar,2024-08-10,1,0,0.0,0.0,0,
Paisa Bazaar,2024-08-06,1,0,0.0,0.0,0,
Paisa Bazaar,2024-08-04,1,0,0.0,0.0,0,
Paisa Bazaar,2024-07-29,3,0,0.0,0.0,0,
Paisa Bazaar,2024-07-21,1,0,0.0,0.0,0,
Paisa Bazaar,2024-07-20,1,0,0.0,0.0,0,
Paisa Bazaar,2024-07-19,1,0,0.0,0.0,0,
Paisa Bazaar,2024-07-17,1,0,0.0,0.0,0,
Paisa Bazaar,2024-07-14,1,0,0.0,0.0,0,
Paisa Bazaar,2024-07-13,2,0,0.0,0.0,0,
Paisa Bazaar,2024-07-12,1,0,0.0,0.0,0,
Paisa Bazaar,2024-07-11,1,0,0.0,0.0,0,
Paisa Bazaar,2024-07-10,1,0,0.0,0.0,0,
Paisa Bazaar,2024-07-09,1,0,0.0,0.0,0,
Paisa Bazaar,2024-07-05,1,0,0.0,0.0,0,
Paisa Bazaar,2024-06-29,1,0,0.0,0.0,0,
Paisa Bazaar,2024-06-27,3,0,0.0,0.0,0,
Paisa Bazaar,2024-06-25,1,0,0.0,0.0,0,
Paisa Bazaar,2024-06-20,1,0,0.0,0.0,0,
Paisa Bazaar,2024-06-18,2,0,0.0,0.0,0,
Paisa Bazaar,2024-06-15,1,0,0.0,0.0,0,
Paisa Bazaar,2024-06-12,2,0,0.0,0.0,0,
Paisa Bazaar,2024-06-11,1,0,0.0,0.0,0,
Paisa Bazaar,2024-06-07,1,0,0.0,0.0,0,
Paisa Bazaar,2024-06-06,1,0,0.0,0.0,0,
Paisa Bazaar,2024-06-03,2,0,0.0,0.0,0,
Paisa Bazaar,2024-06-02,1,0,0.0,0.0,0,
Paisa Bazaar,2024-06-01,2,0,0.0,0.0,0,
Paisa Bazaar,2024-05-31,2,0,0.0,0.0,0,
Paisa Bazaar,2024-05-29,1,0,0.0,0.0,0,
Paisa Bazaar,2024-05-26,1,0,0.0,0.0,0,
Paisa Bazaar,2024-05-24,3,0,0.0,0.0,0,
Paisa Bazaar,2024-05-21,1,0,0.0,0.0,0,
Paisa Bazaar,2024-05-20,1,0,0.0,0.0,0,
Paisa Bazaar,2024-05-19,2,0,0.0,0.0,0,
Paisa Bazaar,2024-05-17,1,0,0.0,0.0,0,
Paisa Bazaar,2024-05-16,2,0,0.0,0.0,0,
Paisa Bazaar,2024-05-15,2,0,0.0,0.0,0,
Paisa Bazaar,2024-05-14,3,0,0.0,0.0,0,
Paisa Bazaar,2024-05-13,1,0,0.0,0.0,0,
Paisa Bazaar,2024-05-12,2,0,0.0,0.0,0,
Paisa Bazaar,2024-05-10,2,0,0.0,0.0,0,
Paisa Bazaar,2024-05-09,1,0,0.0,0.0,0,
Paisa Bazaar,2024-05-07,1,0,0.0,0.0,0,
Paisa Bazaar,2024-05-03,1,0,0.0,0.0,0,
Paisa Bazaar,2024-05-02,1,0,0.0,0.0,0,
Paisa Bazaar,2024-04-30,1,0,0.0,0.0,0,
Paisa Bazaar,2024-04-29,1,0,0.0,0.0,0,
Paisa Bazaar,2024-04-28,2,0,0.0,0.0,0,
Paisa Bazaar,2024-04-26,1,0,0.0,0.0,0,
Paisa Bazaar,2024-04-21,1,0,0.0,0.0,0,
Paisa Bazaar,2024-04-16,1,0,0.0,0.0,0,
Paisa Bazaar,2024-04-15,1,0,0.0,0.0,0,
Paisa Bazaar,2024-04-14,1,0,0.0,0.0,0,
Paisa Bazaar,2024-04-13,1,0,0.0,0.0,0,
Paisa Bazaar,2024-04-11,1,0,0.0,0.0,0,
Paisa Bazaar,2024-04-10,1,0,0.0,0.0,0,
Paisa Bazaar,2024-04-08,1,0,0.0,0.0,0,
Paisa Bazaar,2024-04-05,1,0,0.0,0.0,0,
Paisa Bazaar,2024-04-03,1,0,0.0,0.0,0,
Paisa Bazaar,2024-04-02,1,0,0.0,0.0,0,
Paisa Bazaar,2024-03-31,1,0,0.0,0.0,0,
Paisa Bazaar,2024-03-28,1,0,0.0,0.0,0,
Paisa Bazaar,2024-03-27,1,0,0.0,0.0,0,
Paisa Bazaar,2024-03-26,2,0,0.0,0.0,0,
Paisa Bazaar,2024-03-24,1,0,0.0,0.0,0,
Paisa Bazaar,2024-03-22,1,0,0.0,0.0,0,
Paisa Bazaar,2024-03-19,2,0,0.0,0.0,0,
Paisa Bazaar,2024-03-18,1,0,0.0,0.0,0,
Paisa Bazaar,2024-03-17,2,0,0.0,0.0,0,
Paisa Bazaar,2024-03-16,2,0,0.0,0.0,0,
Paisa Bazaar,2024-03-15,2,0,0.0,0.0,0,
Paisa Bazaar,2024-03-12,1,0,0.0,0.0,0,
Paisa Bazaar,2024-03-11,1,0,0.0,0.0,0,
Paisa Bazaar,2024-03-09,2,0,0.0,0.0,0,
Paisa Bazaar,2024-03-08,1,0,0.0,0.0,0,
Paisa Bazaar,2024-03-05,1,0,0.0,0.0,0,
Paisa Bazaar,2024-03-03,1,0,0.0,0.0,0,
Paisa Bazaar,2024-03-02,1,0,0.0,0.0,0,
Paisa Bazaar,2024-02-29,2,0,0.0,0.0,0,
Paisa Bazaar,2024-02-24,1,0,0.0,0.0,0,
Paisa Bazaar,2024-02-22,3,0,0.0,0.0,0,
Paisa Bazaar,2024-02-20,2,0,0.0,0.0,0,
Paisa Bazaar,2024-02-18,2,0,0.0,0.0,0,
Paisa Bazaar,2024-02-17,1,0,0.0,0.0,0,
Paisa Bazaar,2024-02-14,1,0,0.0,0.0,0,
Paisa Bazaar,2024-02-09,1,0,0.0,0.0,0,
Paisa Bazaar,2024-02-08,1,0,0.0,0.0,0,
Paisa Bazaar,2024-02-04,1,0,0.0,0.0,0,
Paisa Bazaar,2024-02-01,2,0,0.0,0.0,0,
Paisa Bazaar,2024-01-29,1,0,0.0,0.0,0,
Paisa Bazaar,2024-01-28,1,0,0.0,0.0,0,
Paisa Bazaar,2024-01-21,1,0,0.0,0.0,0,
Paisa Bazaar,2024-01-20,1,0,0.0,0.0,0,
Paisa Bazaar,2024-01-19,1,0,0.0,0.0,0,
Paisa Bazaar,2024-01-12,2,0,0.0,0.0,0,
Paisa Bazaar,2024-01-07,2,0,0.0,0.0,0,
Paisa Bazaar,2023-12-27,1,0,0.0,0.0,0,
Paisa Bazaar,2023-12-26,1,0,0.0,0.0,0,
Paisa Bazaar,2023-12-21,1,0,0.0,0.0,0,
Paisa Bazaar,2023-12-20,1,0,0.0,0.0,0,
Paisa Bazaar,2023-12-10,1,0,0.0,0.0,0,
Paisa Bazaar,2023-12-02,1,0,0.0,0.0,0,
Paisa Bazaar,2023-11-30,1,0,0.0,0.0,0,
Paisa Bazaar,2023-11-24,1,0,0.0,0.0,0,
Paisa Bazaar,2023-11-22,1,0,0.0,0.0,0,
Paisa Bazaar,2023-11-21,1,0,0.0,0.0,0,
Paisa Bazaar,2023-11-15,1,0,0.0,0.0,0,
Paisa Bazaar,2023-11-14,1,0,0.0,0.0,0,
Paisa Bazaar,2023-11-13,1,0,0.0,0.0,0,
Paisa Bazaar,2023-11-11,1,0,0.0,0.0,0,
Paisa Bazaar,2023-10-31,2,0,0.0,0.0,0,
Paisa Bazaar,2023-10-28,2,0,0.0,0.0,0,
Paisa Bazaar,2023-10-17,1,0,0.0,0.0,0,
Paisa Bazaar,2023-09-03,1,0,0.0,0.0,0,
Paisa Bazaar,2023-08-30,1,0,0.0,0.0,0,
Paisa Bazaar,2023-08-26,1,0,0.0,0.0,0,
Paisa Bazaar,2023-08-25,2,0,0.0,0.0,0,
Paisa Bazaar,2023-08-09,1,0,0.0,0.0,0,
Paisa Bazaar,2023-07-30,1,0,0.0,0.0,0,
Paisa Bazaar,2023-07-28,1,0,0.0,0.0,0,
Paisa Bazaar,2023-07-27,2,0,0.0,0.0,0,
Paisa Bazaar,2023-07-23,1,0,0.0,0.0,0,
Paisa Bazaar,2023-07-21,1,0,0.0,0.0,0,
Paisa Bazaar,2023-06-27,1,0,0.0,0.0,0,
Paisa Bazaar,2023-06-19,1,0,0.0,0.0,0,
